PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description ,Comments
,,,C78.3+D63.0*,Secondary malignant neoplasm of other and unspecified respiratory organs/Anaemia in neoplastic disease (C00-D48+),Expanatory Note Conditions apply
,,,C78.3+G13.0*,Secondary malignant neoplasm of other and unspecified respiratory organs/Paraneoplastic neuromyopathy and neuropathy,Expanatory Note Conditions apply
,,,C78.3+G13.1*,Secondary malignant neoplasm of other and unspecified respiratory organs/Other systemic atrophy primarily affecting central nervous system in neoplastic disease,Expanatory Note Conditions apply
,,,D02.1,"Carcinoma in situ, trachea",
,,,D02.1+D63.0*,"Carcinoma in situ, trachea/Anaemia in neoplastic disease (C00-D48+)",
,,,D02.1+G13.0*,"Carcinoma in situ, trachea/Paraneoplastic neuromyopathy and neuropathy",
,,,D02.1+G13.1*,"Carcinoma in situ, trachea/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D02.2,"Carcinoma in situ, bronchus and lung",
,,,D02.2+D63.0*,"Carcinoma in situ, bronchus and lung/Anaemia in neoplastic disease (C00-D48+)",
,,,D02.2+G13.0*,"Carcinoma in situ, bronchus and lung/Paraneoplastic neuromyopathy and neuropathy",
,,,D02.2+G13.1*,"Carcinoma in situ, bronchus and lung/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D02.4,"Carcinoma in situ, respiratory system, unspecified",
,,,D02.4+D63.0*,"Carcinoma in situ, respiratory system, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D02.4+G13.0*,"Carcinoma in situ, respiratory system, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D02.4+G13.1*,"Carcinoma in situ, respiratory system, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
170D,Empyema and abscess of lung,Medical and surgical management,A06.5,Amoebic lung abscess (J99.8*),
,,,A06.5+J99.8*,Amoebic lung abscess/ Respiratory disorders in other diseases classified elsewhere,
,,,J85.0,Gangrene and necrosis of lung,
,,,J85.1,Abscess of lung with pneumonia,
,,,J85.2,Abscess of lung without pneumonia,
,,,J86.0,Pyothorax with fistula,
,,,J86.9,Pyothorax without fistula,
934D,Frank haemoptysis,Medical and surgical management,R04.2,Haemoptysis,
,,,R04.8,Haemorrhage from other sites in respiratory passages,
,,,R04.9,"Haemorrhage from respiratory passages, unspecified",
203D,Hypoplasia and dysplasia of lung,Medical and surgical management,Q33.6,Hypoplasia and dysplasia of lung,
900D,Open fracture of ribs and sternum; multiple rib fractures; flail chest,"Medical and surgical management, ventilation",S22.21,"Fracture of sternum, open",
,,,S22.31,"Fracture of rib, open",
,,,S22.40,"Multiple fractures of ribs, closed",
,,,S22.41,"Multiple fractures of ribs, open",
,,,S22.50,"Flail chest, closed",
,,,S22.51,"Flail chest, open",
5D,Pneumothorax and haemothorax,Tube thoracostomy / thoracotomy,J93.0,Spontaneous tension pneumothorax,
,,,J93.1,Other spontaneous pneumothorax,
,,,J93.8,Other pneumothorax,
,,,J93.9,"Pneumothorax, unspecified",
,,,J94.2,Haemothorax,
,,,S27.00,Traumatic pneumothorax without open wound into thoracic cavity,
,,,S27.01,Traumatic pneumothorax with open wound into thoracic cavity,
,,,S27.10,Traumatic haemothorax without open wound into thoracic cavity,
,,,S27.11,Traumatic haemothorax with open wound into thoracic cavity,
,,,S27.20,Traumatic haemopneumothorax without open wound into thoracic cavity,
,,,S27.21,Traumatic haemopneumothorax with open wound into thoracic cavity,
